32.322,4,6.1,17.801,2.1,3.619,5.9,9.8,13.2,227.022,190.047,55.013,1287.498,58.584,341.468223,58731.027657,2224.257815,41.2,3.5,84.694,110.874,18.6,261.53,2.603,17.4,124.863,381.977,34.9,1.8,2.7,1,1.1,11.068,19.553,4.4,0.26,3.771,2,1.863,13.7,0.7,1.2,2.1,1.2,0,1,0
40.92,6.1,8.3,52.614,2.5,6.102,10.6,12.1,22.1,51.778,274.547,109.823,1902.606,70.146,115.927701,2304.786092,78853.68753,794.666,4.9,114.1,168.583,50.8,405.852,5.548,76.1,381.486,906.004,79.5,4,7,2.6,1.9,29.156,53.85,10.8,0.479,8.754,3.6,3.28,125.539,1.9,2.2,4,3.4,0.2,2.8,36.587
5.449616,1.7,2.1,4.3,1.598892,1.2,4.2,7.4,5.4,7.7,28.5,19.288,326.437,79.955,13.531987,41.5,786.258,37000.878827,1.4,17.7,29.4,28.8,246.618,2.1,247.052,433.994,815.413,69.1,3.3,153.1,1.6,1.9,13.725,22.219,6.2,0.093,4.864,2.2,1.098,27,1.7,2.6,2.9,2.6,0,2.4,0
0.1,3,5,11.4,1.2,2.6,5,11.8,81.2,6.219,198.186,553.078,7159.045,898.968,6.9,3.4,4.7,1.4,36764.716072,589.228,7.104,212.864,588.493,1,1.8,27.65,42.437,10.6,0.3,0.9,0.1,0,3.3,5,1.3,0,1.2,0.3,0,2.9,0.1,0,0.1,0,0,0,0
28.372,11.6,14.7,50.4,5.4,12.9,21.2,22.6,29.9,658.283,891.126,370.002,5590.835,308.48,384.585755,84.559,113.9,17.9,448.611,121442.344061,133.479,135.9,962.455,89.5,15.6,121.452,208.747,63.147,2,3.4,1.9,1.6,15.3,28.6,6.3,0,5.3,2.4,1,52.252,0.8,0.9,1.6,1.6,0,1.1,0
0,2.2,3.2,9,1.2,2.4,7.9,8.9,8.7,5.6,23.1,49.474,635.025,134.894,7.4,113.77,172.085,30,374.058,283.546,71620.929089,117.6,36206.322829,487.100455,477.901,457.225,476.729,80.4,2.8,6.2,3,2,25.1,43.5,11.7,0,7.2,4.4,1.4,37.2,2.4,3,4.8,3.6,0.1,2.5,0
56.725,19.5,31.2,71.4,9.7,20.2,42,56.3,188.8,38.5,358.7,428.332,11701.632364,8032.928,42.5,18.7,50.3,28.7,192.081,257,192.933,223384.356907,6384.33,16.886,202.8,715.537,1141.479,218.91,8.1,13.5,7.9,29.796,82.5,134.7,34,1.6,22.8,14.5,5.7,199.7,6.5,7.7,16.1,11.1,1.1,24.055,41.004
870.398071,83.594,114.258,270.583149,43.647,57.373,72.444,71.995,97.996,58.86,210.005,807.137,11201.181,2757.263,133.838,297.063,398.44,243.759,702.179,793.196,36376.17303,6607.658,1350613.46883,20704.670063,670.996,2365.65203,5579.002944,847.687,361.228525,57.311,25.889,64.936,340.98,533.394,123.8,18.502,79.148,93.951,64.84,1151.802,18.8,100.314,152.778,73.145,77.743,276.366,683.229
0,0.4,1.3,7.267,0,0.9,2.9,2.4,3.2,1.3,8.796,12.423,134.316,44.181,2,2.876,5.638,114.4,288.9,89.4,300.160506,16.377,20467.646426,118431.044385,100.821,496.019627,3390.571931,268.705,1126.329026,107.149,0,0.1,3,6.4,2.4,0.098,1.344,0.952,0,6,0.9,0.8,1.1,1.2,0,0.1,0
0,1.1,2,5.1,0.3,1.3,4.5,5.5,6.8,3.3,15.813,33.152,449.221,142.242,5.6,17.1,78.6,249.652,1.9,11.2,505.2,203.5,675.405,118.021,121155.707817,41823.996932,8865.220421,884,54,15.5,3.4,3.1,34.8,53,15.3,0,8.4,5.5,2.1,57.4,4.1,3.7,7.6,5.4,0.3,4.8,0
